,279,350,315,226,192,357,540,666,453
,374,506,367,296,473,381,378,371,427
,365,335,293,228,345,294,480,324,356
,266,450,335,484,371,320,614,457,650
,329,367,467,410,424,248,361,457,300
,510,339,291,267,401,439,402,204,434
,299,260,387,419,389,218,496,472,321
,258,263,269,365,507,302,245,230,400
,379,237,263,290,389,177,221,502,385
,331,232,329,340,295,310,482,426,314
,478,315,327,290,233,326,675,467,184
,372,363,230,314,481,240,539,412,389
,397,246,254,420,291,365,462,219,279
,351,302,231,294,311,14,465,312,210
,237,240,294,324,335,326,534,1924,484
,349,360,449,252,404,352,348,1924,467
,403,234,315,381,369,268,373,425,310
,289,303,282,440,366,265,361,367,319
,261,294,238,218,481,382,477,577,392
,242,275,305,347,185,148,366,360,402
,325,242,292,410,292,150,462,377,342
,351,272,431,350,308,282,367,442,367
,261,218,316,282,381,401,258,526,502
,253,307,212,333,314,150,401,437,516
,477,372,256,284,366,415,407,375,317
,461,511,271,295,354,310,381,466,404
,278,312,253,347,319,335,438,359,348
,340,310,475,313,281,308,418,455,223
,271,367,382,357,401,269,408,579,376
,300,303,311,371,197,319,458,441,368
,237,399,24,327,361,26,482,496,290
,452,23,413,290,324,286,360,342,344
,290,237,301,316,307,331,534,231,376
,384,301,289,345,340,308,425,400,330
,276,303,220,246,406,270,240,330,388
,382,282,290,363,352,352,422,412,482
,277,257,280,358,336,342,380,383,437
,372,294,251,272,286,375,339,445,365
,296,424,401,449,310,250,474,449,344
( BACKUP FILE )
